message,sender,merchant,amount,transaction_type,reference_number,date
Friend: A/C credit ₹6340.83 via UPi to Flipkart. Reference 213403,Friend,Flipkart,6340.83,credit,213403,2025-01-26
UPI Transaction: 947.77 debit from Axis Bank to Flipkart. Ref 868703,Axis Bank,Flipkart,947.77,debit,868703,2025-01-06
Punjab National Bank: credit of ₹5946.61 to Uber. Ref No 756397 on 2025-01-24,Punjab National Bank,Uber,5946.61,credit,756397,2025-01-24
UPI Transaction: 522.79 credit from Personal to Swiggy. Ref 201581,Personal,Swiggy,522.79,credit,201581,2025-01-09
UPI Transaction: 2900.97 credit from SBI to Flipkart. Ref 319108,SBI,Flipkart,2900.97,credit,319108,2025-01-03
Family: debit of ₹2627.41 to Paytm. Ref No 120079 on 2025-01-30,Family,Paytm,2627.41,debit,120079,2025-01-30
SBI Bank: Debit of ₹107.61. Transaction with Google Play Store. Ref: 946479,SBI,Google Play Store,107.61,debit,946479,2025-01-22
Family: A/C credit ₹3523.09 via UPI to Amazon. Reference 226219,Family,Amazon,3523.09,credit,226219,2025-01-28
Family: debit of ₹4762.85 to Swiggy. Ref No 962834 on 2025-01-30,Family,Swiggy,4762.85,debit,962834,2025-01-30
UPI Transaction: 4343.70 credit from ICICI Bank to Myntra. Ref 266912,ICICI Bank,Myntra,4343.7,credit,266912,2025-01-02
UPI Transaction: 1314.88 debit from ICICI Bank to BigBasket. Ref 850723,ICICI Bank,BigBasket,1314.88,debit,850723,2025-01-30
Axis Bank: debit of ₹602.65 to Ola. Ref No 689733 on 2025-01-12,Axis Bank,Ola,602.65,debit,689733,2025-01-12
UPI Transaction: 9745.85 credit from Kotak Mahindra Bank to Netflix. Ref 644131,Kotak Mahindra Bank,Netflix,9745.85,credit,644131,2025-01-20
Friend: A/C debit ₹4597.82 via UPI to Myntra. Reference 645631,Friend,Myntra,4597.82,debit,645631,2025-01-29
SBI: credit of ₹8204.04 to BookMyShow. Ref No 369563 on 2025-01-07,SBI,BookMyShow,8204.04,credit,369563,2025-01-07
UPI Transaction: 3604.04 debit from Punjab National Bank to Google Play Store. Ref 110572,Punjab National Bank,Google Play Store,3604.04,debit,110572,2025-01-26
Axis Bank Bank: Debit of ₹697.36. Transaction with BigBasket. Ref: 973366,Axis Bank,BigBasket,697.36,debit,973366,2025-01-25
UPI Transaction: 2554.33 debit from Family to Google Play Store. Ref 697531,Family,Google Play Store,2554.33,debit,697531,2025-01-16
Family: debit of ₹2562.67 to Amazon. Ref No 681053 on 2025-01-06,Family,Amazon,2562.67,debit,681053,2025-01-06
UPi Transaction: 9204.17 credit from SBI to Myntra. Ref 243110,SBI,Myntra,9204.17,credit,243110,2025-02-01
Family: credit of ₹2206.68 to BookMyShow. Ref No 852079 on 2025-01-16,Family,BookMyShow,2206.68,credit,852079,2025-01-16
SBI Bank: Credit of ₹4064.12. Transaction with PhonePe. Ref: 413129,SBI,PhonePe,4064.12,credit,413129,2025-01-18
Punjab National Bank: A/C credit ₹6706.90 via UPi to Netflix. Reference 514712,Punjab National Bank,Netflix,6706.9,credit,514712,2025-01-29
Family: A/C credit ₹3427.25 via UPi to Google Play Store. Reference 311619,Family,Google Play Store,3427.25,credit,311619,2025-01-22
UPI Transaction: 2342.14 debit from SBI to Uber. Ref 790020,SBI,Uber,2342.14,debit,790020,2025-01-25
ICICI Bank: credit of ₹2374.10 to Uber. Ref No 607746 on 2025-01-14,ICICI Bank,Uber,2374.1,credit,607746,2025-01-14
UPI Transaction: 1989.91 credit from HDFC Bank to Flipkart. Ref 347616,HDFC Bank,Flipkart,1989.91,credit,347616,2025-02-02
Friend: debit of ₹2536.97 to Myntra. Ref No 674180 on 2025-01-26,Friend,Myntra,2536.97,debit,674180,2025-01-26
Punjab National Bank Bank: Credit of ₹7967.56. Transaction with PhonePe. Ref: 965719,Punjab National Bank,PhonePe,7967.56,credit,965719,2025-01-30
Punjab National Bank Bank: Credit of ₹6274.81. Transaction with Myntra. Ref: 766475,Punjab National Bank,Myntra,6274.81,credit,766475,2025-01-27
Yes Bank Bank: Debit of ₹1333.80. Transaction with BookMyShow. Ref: 126063,Yes Bank,BookMyShow,1333.8,debit,126063,2025-01-05
Kotak Mahindra Bank Bank: Debit of ₹992.52. Transaction with Google Play Store. Ref: 298358,Kotak Mahindra Bank,Google Play Store,992.52,debit,298358,2025-01-24
ICICI Bank: debit of ₹1598.48 to BigBasket. Ref No 263457 on 2025-01-16,ICICI Bank,BigBasket,1598.48,debit,263457,2025-01-16
Yes Bank: debit of ₹3257.10 to BigBasket. Ref No 812578 on 2025-01-10,Yes Bank,BigBasket,3257.1,debit,812578,2025-01-10
ICICI Bank: A/C debit ₹4645.09 via UPI to BookMyShow. Reference 680769,ICICI Bank,BookMyShow,4645.09,debit,680769,2025-01-26
UPI Transaction: 4383.32 credit from HDFC Bank to Netflix. Ref 332320,HDFC Bank,Netflix,4383.32,credit,332320,2025-01-18
UPI Transaction: 3735.97 credit from Friend to Zomato. Ref 342413,Friend,Zomato,3735.97,credit,342413,2025-01-17
Kotak Mahindra Bank Bank: Debit of ₹2851.68. Transaction with Netflix. Ref: 547749,Kotak Mahindra Bank,Netflix,2851.68,debit,547749,2025-01-24
UPI Transaction: 360.29 credit from Yes Bank to BigBasket. Ref 769272,Yes Bank,BigBasket,360.29,credit,769272,2025-01-23
Axis Bank: credit of ₹1694.96 to Paytm. Ref No 977666 on 2025-01-13,Axis Bank,Paytm,1694.96,credit,977666,2025-01-13
Punjab National Bank: credit of ₹8550.12 to Zomato. Ref No 389487 on 2025-01-04,Punjab National Bank,Zomato,8550.12,credit,389487,2025-01-04
Personal: credit of ₹2035.73 to PhonePe. Ref No 188498 on 2025-02-01,Personal,PhonePe,2035.73,credit,188498,2025-02-01
ICICI Bank: A/C credit ₹7921.90 via UPI to Uber. Reference 770820,ICICI Bank,Uber,7921.9,credit,770820,2025-01-15
Yes Bank: credit of ₹3588.68 to Netflix. Ref No 785904 on 2025-01-23,Yes Bank,Netflix,3588.68,credit,785904,2025-01-23
Axis Bank Bank: Debit of ₹1291.81. Transaction with Amazon. Ref: 155218,Axis Bank,Amazon,1291.81,debit,155218,2025-01-24
HDFC Bank Bank: Credit of ₹307.23. Transaction with Google Play Store. Ref: 688013,HDFC Bank,Google Play Store,307.23,credit,688013,2025-01-07
SBI Bank: Credit of ₹5567.03. Transaction with Zomato. Ref: 177187,SBI,Zomato,5567.03,credit,177187,2025-02-01
Family: A/C debit ₹2138.41 via UPI to Myntra. Reference 290785,Family,Myntra,2138.41,debit,290785,2025-01-15
Yes Bank Bank: Credit of ₹6925.00. Transaction with PhonePe. Ref: 652013,Yes Bank,PhonePe,6925.0,credit,652013,2025-01-19
HDFC Bank Bank: Debit of ₹436.23. Transaction with Amazon. Ref: 166614,HDFC Bank,Amazon,436.23,debit,166614,2025-01-24
UPI Transaction: 9457.68 credit from HDFC Bank to Amazon. Ref 130874,HDFC Bank,Amazon,9457.68,credit,130874,2025-01-11
UPI Transaction: 4550.08 debit from SBI to Ola. Ref 794715,SBI,Ola,4550.08,debit,794715,2025-01-12
ICICI Bank: A/C credit ₹140.36 via UPI to Myntra. Reference 862656,ICICI Bank,Myntra,140.36,credit,862656,2025-01-08
UPI Transaction: 6346.12 credit from Axis Bank to Ola. Ref 722046,Axis Bank,Ola,6346.12,credit,722046,2025-01-02
Personal: debit of ₹2607.83 to Ola. Ref No 487010 on 2025-01-03,Personal,Ola,2607.83,debit,487010,2025-01-03
ICICI Bank Bank: Debit of ₹2950.24. Transaction with PhonePe. Ref: 478571,ICICI Bank,PhonePe,2950.24,debit,478571,2025-01-29
UPI Transaction: 5073.07 credit from Yes Bank to PhonePe. Ref 878018,Yes Bank,PhonePe,5073.07,credit,878018,2025-01-27
UPI Transaction: 7200.65 credit from ICICI Bank to Swiggy. Ref 107124,ICICI Bank,Swiggy,7200.65,credit,107124,2025-01-30
Friend: A/C debit ₹4228.17 via UPI to PhonePe. Reference 329755,Friend,PhonePe,4228.17,debit,329755,2025-01-05
UPI Transaction: 4674.51 debit from SBI to Google Play Store. Ref 820494,SBI,Google Play Store,4674.51,debit,820494,2025-01-10
UPI Transaction: 5479.90 credit from ICICI Bank to Google Play Store. Ref 131341,ICICI Bank,Google Play Store,5479.9,credit,131341,2025-01-10
Family: credit of ₹6175.00 to Netflix. Ref No 778292 on 2025-01-08,Family,Netflix,6175.0,credit,778292,2025-01-08
UPI Transaction: 4903.15 credit from SBI to Zomato. Ref 130218,SBI,Zomato,4903.15,credit,130218,2025-02-02
Friend Bank: Debit of ₹2765.15. Transaction with Netflix. Ref: 174320,Friend,Netflix,2765.15,debit,174320,2025-01-19
Axis Bank: credit of ₹214.93 to Amazon. Ref No 117047 on 2025-01-22,Axis Bank,Amazon,214.93,credit,117047,2025-01-22
Yes Bank Bank: Credit of ₹4279.76. Transaction with BigBasket. Ref: 123428,Yes Bank,BigBasket,4279.76,credit,123428,2025-02-01
Kotak Mahindra Bank Bank: Debit of ₹2585.59. Transaction with Ola. Ref: 413588,Kotak Mahindra Bank,Ola,2585.59,debit,413588,2025-01-01
Family: credit of ₹2181.89 to Swiggy. Ref No 371537 on 2025-01-12,Family,Swiggy,2181.89,credit,371537,2025-01-12
Punjab National Bank: credit of ₹4922.75 to BigBasket. Ref No 735093 on 2025-01-03,Punjab National Bank,BigBasket,4922.75,credit,735093,2025-01-03
UPI Transaction: 4042.15 debit from HDFC Bank to Zomato. Ref 447582,HDFC Bank,Zomato,4042.15,debit,447582,2025-01-15
Family: debit of ₹3580.63 to Netflix. Ref No 919961 on 2025-01-15,Family,Netflix,3580.63,debit,919961,2025-01-15
UPI Transaction: 9687.69 credit from ICICI Bank to PhonePe. Ref 224965,ICICI Bank,PhonePe,9687.69,credit,224965,2025-01-05
UPI Transaction: 45.70 debit from Axis Bank to BookMyShow. Ref 551039,Axis Bank,BookMyShow,45.7,debit,551039,2025-01-20
UPI Transaction: 4607.71 debit from Yes Bank to Amazon. Ref 406394,Yes Bank,Amazon,4607.71,debit,406394,2025-01-30
Friend: A/C debit ₹2818.51 via UPI to Paytm. Reference 688996,Friend,Paytm,2818.51,debit,688996,2025-02-02
Friend Bank: Debit of ₹1046.54. Transaction with Paytm. Ref: 271838,Friend,Paytm,1046.54,debit,271838,2025-01-27
SBI: A/C debit ₹951.54 via UPI to Flipkart. Reference 533003,SBI,Flipkart,951.54,debit,533003,2025-01-31
Punjab National Bank Bank: Debit of ₹1834.17. Transaction with Uber. Ref: 154349,Punjab National Bank,Uber,1834.17,debit,154349,2025-01-03
ICICI Bank: A/C debit ₹140.44 via UPI to Netflix. Reference 573078,ICICI Bank,Netflix,140.44,debit,573078,2025-01-30
UPI Transaction: 2915.84 credit from Family to PhonePe. Ref 249485,Family,PhonePe,2915.84,credit,249485,2025-01-20
UPI Transaction: 3955.31 credit from HDFC Bank to Ola. Ref 584720,HDFC Bank,Ola,3955.31,credit,584720,2025-02-01
HDFC Bank Bank: Credit of ₹8880.66. Transaction with Zomato. Ref: 504798,HDFC Bank,Zomato,8880.66,credit,504798,2025-01-10
HDFC Bank: credit of ₹893.94 to PhonePe. Ref No 704436 on 2025-01-09,HDFC Bank,PhonePe,893.94,credit,704436,2025-01-09
UPI Transaction: 4053.51 credit from Family to Uber. Ref 938487,Family,Uber,4053.51,credit,938487,2025-01-18
Axis Bank: A/C debit ₹3078.18 via UPI to Paytm. Reference 403621,Axis Bank,Paytm,3078.18,debit,403621,2025-02-02
Personal: credit of ₹960.70 to Uber. Ref No 627155 on 2025-02-01,Personal,Uber,960.7,credit,627155,2025-02-01
Personal: A/C debit ₹2518.28 via UPI to BookMyShow. Reference 121494,Personal,BookMyShow,2518.28,debit,121494,2025-01-27
Axis Bank: A/C credit ₹1775.92 via UPI to Swiggy. Reference 806624,Axis Bank,Swiggy,1775.92,credit,806624,2025-01-27
UPI Transaction: 8968.98 credit from HDFC Bank to PhonePe. Ref 643918,HDFC Bank,PhonePe,8968.98,credit,643918,2025-01-05
Friend: credit of ₹8478.76 to BigBasket. Ref No 647985 on 2025-01-10,Friend,BigBasket,8478.76,credit,647985,2025-01-10
UPI Transaction: 9432.17 credit from Family to Myntra. Ref 256761,Family,Myntra,9432.17,credit,256761,2025-01-31
UPI Transaction: 92.96 debit from Punjab National Bank to Netflix. Ref 831618,Punjab National Bank,Netflix,92.96,debit,831618,2025-01-02
Punjab National Bank: credit of ₹286.28 to BookMyShow. Ref No 833384 on 2025-01-02,Punjab National Bank,BookMyShow,286.28,credit,833384,2025-01-02
Personal: credit of ₹439.70 to BookMyShow. Ref No 629197 on 2025-01-04,Personal,BookMyShow,439.7,credit,629197,2025-01-04
Axis Bank: debit of ₹2078.62 to Amazon. Ref No 624387 on 2025-01-02,Axis Bank,Amazon,2078.62,debit,624387,2025-01-02
UPI Transaction: 4126.46 debit from SBI to Zomato. Ref 686233,SBI,Zomato,4126.46,debit,686233,2025-01-06
Friend: A/C debit ₹614.68 via UPi to Google Play Store. Reference 948480,Friend,Google Play Store,614.68,debit,948480,2025-01-07
Family: A/C debit ₹363.52 via UPI to PhonePe. Reference 441777,Family,PhonePe,363.52,debit,441777,2025-01-24
Yes Bank Bank: Credit of ₹990.36. Transaction with Netflix. Ref: 679613,Yes Bank,Netflix,990.36,credit,679613,2025-01-22
UPI Transaction: 4810.94 credit from Yes Bank to BookMyShow. Ref 519339,Yes Bank,BookMyShow,4810.94,credit,519339,2025-01-31
ICICI Bank: credit of ₹6278.48 to Flipkart. Ref No 488205 on 2025-01-14,ICICI Bank,Flipkart,6278.48,credit,488205,2025-01-14
SBI: A/C credit ₹2711.78 via UPI to Netflix. Reference 974425,SBI,Netflix,2711.78,credit,974425,2025-01-11
Friend Bank: Credit of ₹8815.27. Transaction with Amazon. Ref: 846929,Friend,Amazon,8815.27,credit,846929,2025-01-02
Friend: A/C debit ₹4533.10 via UPI to Amazon. Reference 459183,Friend,Amazon,4533.1,debit,459183,2025-01-04
HDFC Bank: debit of ₹1991.89 to Ola. Ref No 925069 on 2025-01-15,HDFC Bank,Ola,1991.89,debit,925069,2025-01-15
UPI Transaction: 5715.36 credit from Axis Bank to Google Play Store. Ref 277440,Axis Bank,Google Play Store,5715.36,credit,277440,2025-01-03
Yes Bank: debit of ₹3578.77 to Uber. Ref No 638095 on 2025-02-01,Yes Bank,Uber,3578.77,debit,638095,2025-02-01
Punjab National Bank: A/C credit ₹1602.05 via UPI to Swiggy. Reference 365622,Punjab National Bank,Swiggy,1602.05,credit,365622,2025-01-03
UPI Transaction: 2589.79 debit from Punjab National Bank to Myntra. Ref 685032,Punjab National Bank,Myntra,2589.79,debit,685032,2025-01-31
ICICI Bank: A/C debit ₹4342.12 via UPI to BigBasket. Reference 384499,ICICI Bank,BigBasket,4342.12,debit,384499,2025-01-01
Friend: credit of ₹8771.46 to BookMyShow. Ref No 401928 on 2025-01-11,Friend,BookMyShow,8771.46,credit,401928,2025-01-11
SBI: A/C debit ₹480.81 via UPI to Zomato. Reference 189157,SBI,Zomato,480.81,debit,189157,2025-01-12
Punjab National Bank: A/C debit ₹3687.60 via UPI to Google Play Store. Reference 824518,Punjab National Bank,Google Play Store,3687.6,debit,824518,2025-01-15
Friend: debit of ₹2563.75 to Ola. Ref No 454820 on 2025-01-20,Friend,Ola,2563.75,debit,454820,2025-01-20
Axis Bank: A/C credit ₹5766.70 via UPI to Amazon. Reference 240316,Axis Bank,Amazon,5766.7,credit,240316,2025-01-19
Personal: debit of ₹2333.54 to Paytm. Ref No 393624 on 2025-01-23,Personal,Paytm,2333.54,debit,393624,2025-01-23
Axis Bank: A/C debit ₹2134.29 via UPi to Amazon. Reference 566683,Axis Bank,Amazon,2134.29,debit,566683,2025-01-11
Yes Bank: credit of ₹4364.27 to Zomato. Ref No 811694 on 2025-01-08,Yes Bank,Zomato,4364.27,credit,811694,2025-01-08
Personal: debit of ₹2889.72 to Ola. Ref No 349410 on 2025-01-27,Personal,Ola,2889.72,debit,349410,2025-01-27
Yes Bank Bank: Debit of ₹4454.84. Transaction with BigBasket. Ref: 338744,Yes Bank,BigBasket,4454.84,debit,338744,2025-01-17
ICICI Bank: credit of ₹8896.57 to Amazon. Ref No 254516 on 2025-01-15,ICICI Bank,Amazon,8896.57,credit,254516,2025-01-15
Punjab National Bank: credit of ₹7971.18 to Swiggy. Ref No 102113 on 2025-01-26,Punjab National Bank,Swiggy,7971.18,credit,102113,2025-01-26
Yes Bank Bank: Credit of ₹923.40. Transaction with Ola. Ref: 159177,Yes Bank,Ola,923.4,credit,159177,2025-01-12
SBI: credit of ₹8645.73 to Google Play Store. Ref No 757019 on 2025-01-07,SBI,Google Play Store,8645.73,credit,757019,2025-01-07
HDFC Bank Bank: Debit of ₹1600.71. Transaction with Flipkart. Ref: 140104,HDFC Bank,Flipkart,1600.71,debit,140104,2025-01-12
Friend: credit of ₹4338.24 to Paytm. Ref No 983448 on 2025-01-28,Friend,Paytm,4338.24,credit,983448,2025-01-28
Personal: debit of ₹2830.87 to Netflix. Ref No 632645 on 2025-01-30,Personal,Netflix,2830.87,debit,632645,2025-01-30
UPI Transaction: 981.11 debit from Family to Amazon. Ref 511313,Family,Amazon,981.11,debit,511313,2025-01-18
Friend: A/C credit ₹6730.69 via UPI to Ola. Reference 926145,Friend,Ola,6730.69,credit,926145,2025-01-11
SBI: A/C credit ₹9198.03 via UPI to PhonePe. Reference 329287,SBI,PhonePe,9198.03,credit,329287,2025-01-05
Family: A/C debit ₹691.34 via UPI to Amazon. Reference 187883,Family,Amazon,691.34,debit,187883,2025-01-09
Personal Bank: Debit of ₹2026.24. Transaction with BigBasket. Ref: 406396,Personal,BigBasket,2026.24,debit,406396,2025-01-08
Friend: A/C credit ₹1242.17 via UPI to Myntra. Reference 630866,Friend,Myntra,1242.17,credit,630866,2025-01-23
Kotak Mahindra Bank: A/C debit ₹1966.02 via UPI to BigBasket. Reference 214042,Kotak Mahindra Bank,BigBasket,1966.02,debit,214042,2025-01-02
Personal: A/C debit ₹2166.15 via UPI to Amazon. Reference 388241,Personal,Amazon,2166.15,debit,388241,2025-01-21
Punjab National Bank: debit of ₹4474.60 to Myntra. Ref No 868351 on 2025-02-02,Punjab National Bank,Myntra,4474.6,debit,868351,2025-02-02
Axis Bank: debit of ₹1450.04 to Uber. Ref No 122452 on 2025-01-05,Axis Bank,Uber,1450.04,debit,122452,2025-01-05
Axis Bank: debit of ₹1120.57 to Swiggy. Ref No 697949 on 2025-01-25,Axis Bank,Swiggy,1120.57,debit,697949,2025-01-25
Family Bank: Credit of ₹4487.36. Transaction with Uber. Ref: 945630,Family,Uber,4487.36,credit,945630,2025-01-29
Kotak Mahindra Bank: debit of ₹3522.65 to PhonePe. Ref No 869814 on 2025-01-31,Kotak Mahindra Bank,PhonePe,3522.65,debit,869814,2025-01-31
Punjab National Bank: debit of ₹2056.68 to Uber. Ref No 364105 on 2025-02-01,Punjab National Bank,Uber,2056.68,debit,364105,2025-02-01
UPI Transaction: 3507.34 debit from HDFC Bank to BigBasket. Ref 919587,HDFC Bank,BigBasket,3507.34,debit,919587,2025-01-24
UPI Transaction: 997.80 credit from Family to BookMyShow. Ref 157637,Family,BookMyShow,997.8,credit,157637,2025-01-18
ICICI Bank: debit of ₹601.53 to Google Play Store. Ref No 103443 on 2025-01-22,ICICI Bank,Google Play Store,601.53,debit,103443,2025-01-22
HDFC Bank: A/C credit ₹9926.41 via UPI to Ola. Reference 479600,HDFC Bank,Ola,9926.41,credit,479600,2025-01-11
Personal: credit of ₹881.47 to Zomato. Ref No 994358 on 2025-01-17,Personal,Zomato,881.47,credit,994358,2025-01-17
UPI Transaction: 4503.54 debit from Personal to Zomato. Ref 282131,Personal,Zomato,4503.54,debit,282131,2025-01-16
ICICI Bank Bank: Credit of ₹6381.55. Transaction with Zomato. Ref: 142324,ICICI Bank,Zomato,6381.55,credit,142324,2025-01-14
UPI Transaction: 3290.29 debit from Family to Google Play Store. Ref 633014,Family,Google Play Store,3290.29,debit,633014,2025-02-02
ICICI Bank: credit of ₹2627.82 to Paytm. Ref No 865069 on 2025-01-25,ICICI Bank,Paytm,2627.82,credit,865069,2025-01-25
UPI Transaction: 121.47 debit from Friend to Paytm. Ref 594363,Friend,Paytm,121.47,debit,594363,2025-01-24
ICICI Bank: debit of ₹3525.87 to Paytm. Ref No 544887 on 2025-02-02,ICICI Bank,Paytm,3525.87,debit,544887,2025-02-02
SBI: A/C debit ₹1906.81 via UPI to Uber. Reference 946062,SBI,Uber,1906.81,debit,946062,2025-01-03
SBI Bank: Credit of ₹6420.78. Transaction with Netflix. Ref: 323981,SBI,Netflix,6420.78,credit,323981,2025-01-31
Axis Bank Bank: Debit of ₹3561.80. Transaction with Netflix. Ref: 814781,Axis Bank,Netflix,3561.8,debit,814781,2025-02-02
Family: credit of ₹3748.61 to Myntra. Ref No 440152 on 2025-02-02,Family,Myntra,3748.61,credit,440152,2025-02-02
Axis Bank: A/C debit ₹4200.71 via UPI to BigBasket. Reference 624492,Axis Bank,BigBasket,4200.71,debit,624492,2025-01-13
Friend: credit of ₹4064.36 to BigBasket. Ref No 224529 on 2025-02-02,Friend,BigBasket,4064.36,credit,224529,2025-02-02
Axis Bank: A/C credit ₹5276.22 via UPI to Google Play Store. Reference 297169,Axis Bank,Google Play Store,5276.22,credit,297169,2025-01-24
ICICI Bank: debit of ₹1552.69 to Google Play Store. Ref No 202334 on 2025-01-03,ICICI Bank,Google Play Store,1552.69,debit,202334,2025-01-03
ICICI Bank: A/C debit ₹1816.31 via UPI to Ola. Reference 393611,ICICI Bank,Ola,1816.31,debit,393611,2025-01-31
Axis Bank Bank: Credit of ₹125.75. Transaction with Ola. Ref: 185811,Axis Bank,Ola,125.75,credit,185811,2025-01-08
HDFC Bank: debit of ₹3409.63 to Paytm. Ref No 867280 on 2025-01-03,HDFC Bank,Paytm,3409.63,debit,867280,2025-01-03
Axis Bank: A/C debit ₹2086.14 via UPI to Swiggy. Reference 588272,Axis Bank,Swiggy,2086.14,debit,588272,2025-01-03
HDFC Bank: credit of ₹2921.52 to Myntra. Ref No 669986 on 2025-01-22,HDFC Bank,Myntra,2921.52,credit,669986,2025-01-22
UPI Transaction: 9387.17 credit from SBI to BookMyShow. Ref 532552,SBI,BookMyShow,9387.17,credit,532552,2025-02-02
Yes Bank Bank: Credit of ₹3164.84. Transaction with Ola. Ref: 130467,Yes Bank,Ola,3164.84,credit,130467,2025-01-06
Personal: debit of ₹668.98 to Swiggy. Ref No 164336 on 2025-02-02,Personal,Swiggy,668.98,debit,164336,2025-02-02
Kotak Mahindra Bank Bank: Credit of ₹633.44. Transaction with Zomato. Ref: 101994,Kotak Mahindra Bank,Zomato,633.44,credit,101994,2025-01-22
UPI Transaction: 1271.18 debit from Personal to PhonePe. Ref 811957,Personal,PhonePe,1271.18,debit,811957,2025-01-01
UPI Transaction: 9596.63 credit from Personal to Swiggy. Ref 718000,Personal,Swiggy,9596.63,credit,718000,2025-01-18
Personal: A/C credit ₹3024.49 via UPI to Google Play Store. Reference 984821,Personal,Google Play Store,3024.49,credit,984821,2025-01-23
Family: A/C credit ₹7947.78 via UPI to Ola. Reference 866694,Family,Ola,7947.78,credit,866694,2025-01-03
UPI Transaction: 4330.97 credit from Axis Bank to PhonePe. Ref 942535,Axis Bank,PhonePe,4330.97,credit,942535,2025-02-02
Personal Bank: Credit of ₹162.44. Transaction with Swiggy. Ref: 931605,Personal,Swiggy,162.44,credit,931605,2025-01-18
Friend Bank: Credit of ₹8559.86. Transaction with Uber. Ref: 789710,Friend,Uber,8559.86,credit,789710,2025-01-16
Punjab National Bank: credit of ₹3753.27 to Flipkart. Ref No 442127 on 2025-01-05,Punjab National Bank,Flipkart,3753.27,credit,442127,2025-01-05
UPi Transaction: 1347.92 debit from Yes Bank to BookMyShow. Ref 540728,Yes Bank,BookMyShow,1347.92,debit,540728,2025-01-07
Axis Bank: A/C debit ₹3042.66 via UPI to Ola. Reference 375161,Axis Bank,Ola,3042.66,debit,375161,2025-01-21
HDFC Bank: debit of ₹2116.77 to Ola. Ref No 796107 on 2025-01-23,HDFC Bank,Ola,2116.77,debit,796107,2025-01-23
ICICI Bank Bank: Credit of ₹1385.14. Transaction with PhonePe. Ref: 257660,ICICI Bank,PhonePe,1385.14,credit,257660,2025-01-19
UPI Transaction: 3958.44 debit from Kotak Mahindra Bank to Google Play Store. Ref 143825,Kotak Mahindra Bank,Google Play Store,3958.44,debit,143825,2025-01-27
Kotak Mahindra Bank: credit of ₹2326.92 to Ola. Ref No 690420 on 2025-01-03,Kotak Mahindra Bank,Ola,2326.92,credit,690420,2025-01-03
ICICI Bank: A/C credit ₹2329.19 via UPI to Flipkart. Reference 868787,ICICI Bank,Flipkart,2329.19,credit,868787,2025-01-13
ICICI Bank: credit of ₹5144.23 to BookMyShow. Ref No 963457 on 2025-01-04,ICICI Bank,BookMyShow,5144.23,credit,963457,2025-01-04
Friend Bank: Debit of ₹731.67. Transaction with BookMyShow. Ref: 292082,Friend,BookMyShow,731.67,debit,292082,2025-01-15
Yes Bank Bank: Debit of ₹1588.80. Transaction with BigBasket. Ref: 496175,Yes Bank,BigBasket,1588.8,debit,496175,2025-01-25
Punjab National Bank: debit of ₹110.33 to Swiggy. Ref No 514362 on 2025-01-05,Punjab National Bank,Swiggy,110.33,debit,514362,2025-01-05
HDFC Bank: A/C debit ₹2629.65 via UPI to Netflix. Reference 882743,HDFC Bank,Netflix,2629.65,debit,882743,2025-01-09
Personal Bank: Credit of ₹9919.74. Transaction with Google Play Store. Ref: 425859,Personal,Google Play Store,9919.74,credit,425859,2025-01-10
SBI Bank: Credit of ₹1659.90. Transaction with Ola. Ref: 902157,SBI,Ola,1659.9,credit,902157,2025-01-15
UPI Transaction: 2598.67 credit from Yes Bank to Swiggy. Ref 323281,Yes Bank,Swiggy,2598.67,credit,323281,2025-01-22
Personal Bank: Credit of ₹9669.10. Transaction with BigBasket. Ref: 622835,Personal,BigBasket,9669.1,credit,622835,2025-01-21
Punjab National Bank: A/C credit ₹4631.36 via UPI to Flipkart. Reference 790256,Punjab National Bank,Flipkart,4631.36,credit,790256,2025-01-22
SBI: A/C debit ₹4131.07 via UPI to BigBasket. Reference 235128,SBI,BigBasket,4131.07,debit,235128,2025-01-29
ICICI Bank: A/C credit ₹4709.75 via UPI to Swiggy. Reference 364172,ICICI Bank,Swiggy,4709.75,credit,364172,2025-01-09
Friend: debit of ₹215.42 to Myntra. Ref No 120277 on 2025-01-15,Friend,Myntra,215.42,debit,120277,2025-01-15
Yes Bank: credit of ₹3518.83 to Flipkart. Ref No 945369 on 2025-01-09,Yes Bank,Flipkart,3518.83,credit,945369,2025-01-09
Personal Bank: Debit of ₹2741.91. Transaction with Myntra. Ref: 821569,Personal,Myntra,2741.91,debit,821569,2025-01-25
Family Bank: Credit of ₹4250.55. Transaction with Myntra. Ref: 517412,Family,Myntra,4250.55,credit,517412,2025-01-29
Personal: credit of ₹328.56 to BigBasket. Ref No 426819 on 2025-02-01,Personal,BigBasket,328.56,credit,426819,2025-02-01
Kotak Mahindra Bank: debit of ₹4681.63 to BookMyShow. Ref No 188633 on 2025-01-30,Kotak Mahindra Bank,BookMyShow,4681.63,debit,188633,2025-01-30
Personal: A/C debit ₹1261.00 via UPI to Myntra. Reference 794844,Personal,Myntra,1261.0,debit,794844,2025-01-04
HDFC Bank: A/C credit ₹7234.55 via UPI to Google Play Store. Reference 712560,HDFC Bank,Google Play Store,7234.55,credit,712560,2025-01-17
UPI Transaction: 4807.57 debit from ICICI Bank to Paytm. Ref 864479,ICICI Bank,Paytm,4807.57,debit,864479,2025-01-07
Personal: A/C credit ₹7694.65 via UPi to PhonePe. Reference 162908,Personal,PhonePe,7694.65,credit,162908,2025-01-21
